ID_individual,wound_type,wound_Stage,Species,Sex,Length_mm,Weight_g
CHIN_2000_002,A,early,CHIN,F,84.4,6.5
CHIN_2000_002,A,early,CHIN,F,84.4,6.5
CHIN_2000_002,A,mid,CHIN,F,84.4,6.5
CHIN_2000_003,A,mid,CHIN,M,92,8.38
CHIN_2000_004,B,late,CHIN,M,96,9.16
CHIN_2000_013,A,mid,CHIN,M,79,4.39
CHIN_2000_015,B,early,CHIN,M,73.5,5.21
CHIN_2000_015,A,late,CHIN,M,73.5,5.21
CHIN_2000_017,B,early,CHIN,F,93,7.75
CHIN_2000_018,A,mid,CHIN,M,79.2,3.99
CHIN_2000_020,A,late,CHIN,M,58,5.68
ATS_2000_008, B,early,ATS,F,55,
CHIN_2000_029,A,late,CHIN,M,67,6.69
CHIN_2000_031,A,late,CHIN,M,65,8.22
ATS_2001_002,A,late,ATS,F,69.9,3.72
ATS_2001_003,A,late,ATS,F,63.5,2.54
ATS_2001_004,B,late,ATS,F,62.9,2.76
ATS_2001_006,B,late,ATS,F,72.4,3.71
ATS_2001_008,B,early,ATS,F,71.1,4.3
CHIN_2001_004,B,late,CHIN,F,87.6,6.16
ATS_2001_009,B,late,ATS,F,73.7,5.12
ATS_2001_012,A,mid,ATS,M,59.7,2.04
ATS_2001_013,B,late,ATS,M,76.2,3.58
CHIN_2001_006,A,mid,CHIN,M,63.5,2.4
ATS_2001_014,A,late,ATS,M,81.3,4.17
ATS_2001_015,B,early,ATS,F,75.6,3.93
ATS_2001_017,B,early,ATS,F,73,4.03
ATS_2001_018,A,late,ATS,F,73.7,3.67
ATS_2001_019,A,early,ATS,M,68.6,2.94
ATS_2001_020,A,mid,ATS,F,68.6,3.3
ATS_2001_021,A,late,ATS,F,76.8,3.67
CHIN_2001_008,A,late,CHIN,M,101.6,10.25
ATS_2001_025,A,early,ATS,M,81.3,4.26
CHIN_2001_010,A,mid,CHIN,M,60.3,2.08
ATS_2001_028,B,mid,ATS,M,75.9,3.71
ATS_2001_029,B,late,ATS,M,61,1.95
ATS_2001_032,B,late,ATS,F,76.8,4.26
ATS_2001_033,A,late,ATS,F,74.9,3.81
ATS_2001_035,B,late,ATS,F,69.9,2.86
CHIN_2001_013,A,mid,CHIN,M,95.3,6.12
CHIN_2001_014,B,late,CHIN,M,95.3,7.38
CHIN_2001_015,A,late,CHIN,F,90.2,6.87
ATS_2001_036,A,late,ATS,M,81.9,5.76
CHIN_2001_017,A,late,CHIN,M,92.7,7.34
CHIN_2001_018,B,late,CHIN,M,58.4,1.85
ATS_2001_042,A,early,ATS,F,72.4,1.92
CHIN_2001_020,A,early,CHIN,F,68.6,9.29
CHIN_2001_021,A,late,CHIN,M,96.5,8.21
CHIN_2001_022,A,mid,CHIN,F,71.1,5.87
CHIN_2001_024,B,mid,CHIN,M,87.6,5.76
ATS_2001_047,B,late,ATS,F,71.1,3.46
CHIN_2001_027,B,late,CHIN,M,94.6,7.43
CHIN_2001_028,A,late,CHIN,M,104.8,11.66
CHIN_2001_030,A,late,CHIN,M,94,7.51
ATS_2001_048,B,mid,ATS,F,57.8,1.73
CHIN_2001_033,B,early,CHIN,F,94,8.8
CHIN_2001_034,A,mid,CHIN,M,101.3,6.9
ATS_2001_051,A,late,ATS,F,74.9,4.24
ATS_2001_052,B,late,ATS,M,64.1,2.37
ATS_2001_053,B,early,ATS,F,77.5,4.33
CHIN_2001_036,B,late,CHIN,M,88.6,6.29
CHIN_2001_037,A,late,CHIN,M,63.5,2.6
CHIN_2001_039,A,early,CHIN,F,84.5,5.53
ATS_2001_056,A,late,ATS,M,61.6,1.88
ATS_2001_057,A,mid,ATS,M,69.2,1.81
ATS_2001_058,A,late,ATS,M,64.8,1.13
ATS_2001_059,A,early,ATS,M,76.8,4.3
ATS_2001_060,B,mid,ATS,M,62.2,1.96
CHIN_2001_040,B,late,CHIN,F,85.1,6.35
CHIN_2001_041,B,late,CHIN,M,77.5,4.59
CHIN_2001_043,B,mid,CHIN,F,94.6,6.3
CHIN_2001_044,A,mid,CHIN,M,97.8,6.8
ATS_2001_061,A,mid,ATS,M,63.5,2.09
ATS_2001_062,A,late,ATS,M,84.5,4.54
ATS_2001_064,B,early,ATS,M,77.5,4.76
ATS_2001_065,A,late,ATS,M,63.5,2.18
ATS_2001_066,A,mid,ATS,M,71.1,2.49
ATS_2001_067,B,early,ATS,F,73.7,5.49
CHIN_2001_052,A,mid,CHIN,M,80,4.35
ATS_2001_068,B,late,ATS,F,71.8,3.66
CHIN_2001_055,A,late,CHIN,F,83.2,4.35
CHIN_2001_058,A,mid,CHIN,M,101.6,9.28
CHIN_2001_059,B,early,CHIN,M,83.8,4.88
CHIN_2001_060,B,late,CHIN,F,83.8,6.03
CHIN_2001_062,A,late,CHIN,M,81.3,4.72
CHIN_2001_066,A,late,CHIN,M,60.3,1.95
CHIN_2001_068,B,early,CHIN,M,81.8,4.58
CHIN_2001_071,A,early,CHIN,F,59.7,2.13
ATS_2001_071,A,early,ATS,M,62.9,1.91
CHIN_2001_074,A,early,CHIN,M,96.5,6.8
CHIN_2001_077,A,late,CHIN,F,88.9,6.94
CHIN_2001_080,A,late,CHIN,F,83.8,5.35
ATS_2001_075,A,late,ATS,F,72.4,3.76
ATS_2001_076,B,late,ATS,F,53.7,2.49
ATS_2001_078,B,mid,ATS,F,50.2,1.41
CHIN_2001_083,A,early,CHIN,M,91.4,7.21
ATS_2001_079,B,late,ATS,F,72.4,3.86
CHIN_2001_086,A,mid,CHIN,F,70.5,4.51
CHIN_2001_087,B,early,CHIN,M,87.6,5.97
ATS_2001_080,A,mid,ATS,F,72.4,2.93
CHIN_2001_093,A,mid,CHIN,F,83.8,5.9
CHIN_2001_099,B,mid,CHIN,M,82.6,4.54
ATS_2001_083,B,late,ATS,F,61,1.68
CHIN_2001_100,B,late,CHIN,F,67.3,2.51
CHIN_2001_101,B,late,CHIN,M,88.3,6.08
CHIN_2001_102,B,late,CHIN,F,80,4.54
